组播频道,#genre#
CCTV8,http://171.214.202.208:4000/udp/239.93.42.39:5140$(四川成都5)
CCTV9,http://171.214.202.208:4000/udp/239.93.1.24:5140$(四川成都5)
CCTV10,http://171.214.202.208:4000/udp/239.93.1.28:5140$(四川成都5)
CCTV11,http://171.214.202.208:4000/udp/239.93.0.102:5140$(四川成都5)
CCTV12,http://171.214.202.208:4000/udp/239.93.1.30:8124$(四川成都5)
CCTV13,http://171.214.202.208:4000/udp/239.93.0.66:5140$(四川成都5)
CCTV14,http://171.214.202.208:4000/udp/239.93.1.29:6000$(四川成都5)
CCTV15,http://171.214.202.208:4000/udp/239.93.0.103:5140$(四川成都5)
CCTV17,http://171.214.202.208:4000/udp/239.93.0.92:5140$(四川成都5)

CCTV1,http://182.148.15.57:8888/udp/239.93.0.184:5140$(四川成都6)
CCTV2,http://182.148.15.57:8888/udp/239.93.1.23:6000$(四川成都6)
CCTV3,http://182.148.15.57:8888/udp/239.93.1.11:2223$(四川成都6)
CCTV4,http://182.148.15.57:8888/udp/239.93.1.105:5140$(四川成都6)
CCTV5,http://182.148.15.57:8888/udp/239.93.42.37:5140$(四川成都6)
CCTV5+,http://182.148.15.57:8888/udp/239.93.1.36:8004$(四川成都6)
CCTV6,http://182.148.15.57:8888/udp/239.93.1.13:2226$(四川成都6)
CCTV7,http://182.148.15.57:8888/udp/239.93.1.67:5140$(四川成都6)
CCTV8,http://182.148.15.57:8888/udp/239.93.42.39:5140$(四川成都6)
CCTV9,http://182.148.15.57:8888/udp/239.93.1.24:5140$(四川成都6)
CCTV10,http://182.148.15.57:8888/udp/239.93.1.28:5140$(四川成都6)
CCTV11,http://182.148.15.57:8888/udp/239.93.0.102:5140$(四川成都6)
CCTV12,http://182.148.15.57:8888/udp/239.93.1.30:8124$(四川成都6)
CCTV13,http://182.148.15.57:8888/udp/239.93.0.66:5140$(四川成都6)
CCTV14,http://182.148.15.57:8888/udp/239.93.1.29:6000$(四川成都6)
CCTV15,http://182.148.15.57:8888/udp/239.93.0.103:5140$(四川成都6)
CCTV17,http://182.148.15.57:8888/udp/239.93.0.92:5140$(四川成都6)

CCTV1,http://119.4.83.117:55555/udp/239.93.0.184:5140$(四川成都7)
CCTV2,http://119.4.83.117:55555/udp/239.93.1.23:6000$(四川成都7)
CCTV3,http://119.4.83.117:55555/udp/239.93.1.11:2223$(四川成都7)
CCTV4,http://119.4.83.117:55555/udp/239.93.1.105:5140$(四川成都7)
CCTV5,http://119.4.83.117:55555/udp/239.93.42.37:5140$(四川成都7)
CCTV5+,http://119.4.83.117:55555/udp/239.93.1.36:8004$(四川成都7)
CCTV6,http://119.4.83.117:55555/udp/239.93.1.13:2226$(四川成都7)
CCTV7,http://119.4.83.117:55555/udp/239.93.1.67:5140$(四川成都7)
CCTV8,http://119.4.83.117:55555/udp/239.93.42.39:5140$(四川成都7)
CCTV9,http://119.4.83.117:55555/udp/239.93.1.24:5140$(四川成都7)
CCTV10,http://119.4.83.117:55555/udp/239.93.1.28:5140$(四川成都7)
CCTV11,http://119.4.83.117:55555/udp/239.93.0.102:5140$(四川成都7)
CCTV12,http://119.4.83.117:55555/udp/239.93.1.30:8124$(四川成都7)
CCTV13,http://119.4.83.117:55555/udp/239.93.0.66:5140$(四川成都7)
CCTV14,http://119.4.83.117:55555/udp/239.93.1.29:6000$(四川成都7)
CCTV15,http://119.4.83.117:55555/udp/239.93.0.103:5140$(四川成都7)
CCTV17,http://119.4.83.117:55555/udp/239.93.0.92:5140$(四川成都7)

CCTV1,http://116.179.130.242:6000/rtp/226.0.2.153:9136$(山西忻州1)
CCTV2,http://116.179.130.242:6000/rtp/226.0.2.154:9144$(山西忻州1)
CCTV3,http://116.179.130.242:6000/rtp/226.0.2.208:9576$(山西忻州1)
CCTV4,http://116.179.130.242:6000/rtp/226.0.2.156:9160$(山西忻州1)
CCTV5,http://116.179.130.242:6000/rtp/226.0.2.209:9584$(山西忻州1)
CCTV5+,http://116.179.130.242:6000/rtp/226.0.2.168:9256$(山西忻州1)
CCTV6,http://116.179.130.242:6000/rtp/226.0.2.210:9592$(山西忻州1)
CCTV7,http://116.179.130.242:6000/rtp/226.0.2.159:9184$(山西忻州1)
